,codigo,marca,tipo,categoria,preco_unitario,custo,obs
0,MOLO000251,Santa Clara,Café Solúvel,1,25.95,6.5,
1,MOLO000192,Santa Clara,Café Solúvel,2,19.95,5.0,
2,CAHA000251,3 corações,Café em grãos,1,25.0,11.0,
3,CAHA000252,3 corações,Café em grãos,2,25.0,11.0,Conferir estoque
4,MOMU000111,Café brasileiro,Café Solúvel,1,11.99,3.4,
5,BOHA000251,3 corações,Xaropes de sabores para café,1,25.0,11.0,
6,BOHA000252,3 corações,Xaropes de sabores para café,2,25.0,11.0,
7,CAHA000273,3 corações,Café em grãos,3,27.5,12.4,Troca de fornecedor
8,CAHA000274,3 corações,Café em grãos,4,27.5,12.4,
9,CAHA000275,3 corações,Café em grãos,5,27.5,12.4,
10,TELG000821,tres,Café gourmet,1,820.0,172.2,
11,TELG000252,tres,Café gourmet,2,250.0,62.5,
12,TELG000373,tres,Café gourmet,3,378.0,83.2,
13,TELG000524,tres,Café gourmet,4,520.0,145.6,
14,TESA000125,.br,Café gourmet,5,1260.0,378.0,
15,TESA000346,.br,Café gourmet,6,340.0,71.4,
16,TESA000747,.br,Café gourmet,7,740.0,214.6,
17,TESA000108,.br,Café gourmet,8,10000.0,3000.0,
18,TESA000729,.br,Café gourmet,9,720.0,201.6,
19,TESA0002010,.br,Café gourmet,10,2000.0,440.0,
20,TEAO0002511,AOC,Café gourmet,11,250.0,62.5,
21,TEAO0003612,AOC,Café gourmet,12,360.0,97.2,
22,TETO0006413,Cruzeiro,Café gourmet,13,640.0,185.6,
23,TETO0008014,Cruzeiro,Café gourmet,14,800.0,192.0,
24,TETO0006015,Cruzeiro,Café gourmet,15,600.0,144.0,
25,TESE0005016,Café Fino Grão,Café gourmet,16,500.0,125.0,
26,TESE0003817,Café Fino Grão,Café gourmet,17,380.0,91.2,
27,TESE0005018,Café Fino Grão,Café gourmet,18,500.0,140.0,
28,TEPH0004019,.br Gold,Café gourmet,19,400.0,120.0,
29,TEPH0002720,.br Gold,Café gourmet,20,279.8,56.0,
30,TETC0001521,Kimimo,Café gourmet,21,158.0,36.3,
31,TETC0002222,Kimimo,Café gourmet,22,220.0,59.4,
32,REGA000441,Garmin,Café especial,1,440.0,96.8,
33,REGA000722,Garmin,Café especial,2,720.0,187.2,
34,REXI000463,Pimpinela,Café especial,3,46.4,11.6,
35,REXI000744,Pimpinela,Café especial,4,74.0,15.5,
36,REXI000365,Pimpinela,Café especial,5,36.0,7.9,
37,REXI000116,Pimpinela,Café especial,6,114.0,23.9,
38,RESA000287,.br,Café especial,7,280.0,72.8,
39,RESA000298,.br,Café especial,8,290.0,72.5,
40,RESA000389,.br,Café especial,9,380.0,110.2,
41,RESA0003210,.br,Café especial,10,320.0,83.2,
42,CEAP000101,Café iguaçu,Café moído,1,1099.0,329.7,
43,CEAP000112,Café iguaçu,Café moído,2,1199.0,287.8,
44,CEAP000133,Café iguaçu,Café moído,3,1399.0,377.7,
45,CEAP000154,Café iguaçu,Café moído,4,1599.0,367.8,
46,CEAP000995,Café iguaçu,Café moído,5,999.0,269.7,
47,CEAP000106,Café iguaçu,Café moído,6,1099.0,329.7,
48,CEAP000127,Café iguaçu,Café moído,7,1299.0,298.8,
49,CEAP000148,Café iguaçu,Café moído,8,1499.0,329.8,
50,CEAP000799,Café iguaçu,Café moído,9,799.0,215.7,
51,CEAP0008910,Café iguaçu,Café moído,10,899.0,197.8,
52,CEAP0001011,Café iguaçu,Café moído,11,1099.0,329.7,
53,CEAP0006912,Café iguaçu,Café moído,12,699.0,167.8,
54,CEAP0007913,Café iguaçu,Café moído,13,799.0,215.7,
55,CEAP0009914,Café iguaçu,Café moído,14,999.0,269.7,
56,CEAP0004215,Café iguaçu,Café moído,15,429.0,115.8,
57,CEAP0004716,Café iguaçu,Café moído,16,479.0,138.9,
58,CEAP0005717,Café iguaçu,Café moído,17,579.0,115.8,
59,CEAP0009418,Café iguaçu,Café moído,18,949.0,256.2,
60,CEAP0001019,Café iguaçu,Café moído,19,1049.0,304.2,
61,CEAP0001220,Café iguaçu,Café moído,20,1249.0,362.2,
62,CEAP0001421,Café iguaçu,Café moído,21,1449.0,347.8,
63,CEAP0008422,Café iguaçu,Café moído,22,849.0,178.3,
64,CEAP0009423,Café iguaçu,Café moído,23,949.0,256.2,
65,CEAP0001124,Café iguaçu,Café moído,24,1149.0,252.8,
66,CEAP0001325,Café iguaçu,Café moído,25,1349.0,296.8,
67,CEAP0006426,Café iguaçu,Café moído,26,649.0,181.7,
68,CEAP0007427,Café iguaçu,Café moído,27,749.0,157.3,
69,CEAP0009428,Café iguaçu,Café moído,28,949.0,256.2,
70,CEAP0005429,Café iguaçu,Café moído,29,549.0,115.3,
71,CEAP0006430,Café iguaçu,Café moído,30,649.0,181.7,
72,CEAP0008431,Café iguaçu,Café moído,31,849.0,178.3,
73,CEAP0005932,Café iguaçu,Café moído,32,599.0,137.8,
74,CEAP0006933,Café iguaçu,Café moído,33,699.0,181.7,
75,CEAP0005434,Café iguaçu,Café moído,34,549.0,120.8,
76,CEAP0006435,Café iguaçu,Café moído,35,649.0,142.8,
77,CEAP0004436,Café iguaçu,Café moído,36,449.0,103.3,
78,CEAP0004937,Café iguaçu,Café moído,37,499.0,129.7,
79,CEAP0004938,Café iguaçu,Café moído,38,499.0,124.8,
80,CEAP0005439,Café iguaçu,Café moído,39,549.0,142.7,
81,CESA0002040,.br,Café moído,40,200.0,48.0,
82,NODE000441,Amigo,Café aromatizado,1,448.0,134.4,
83,NODE000512,Amigo,Café aromatizado,2,512.0,107.5,
84,NOLE000183,Café Cirol,Café aromatizado,3,188.61,41.5,
85,NOAC000224,Café 3 fazendas,Café aromatizado,4,227.0,65.8,
86,NOHP000215,Letícia,Café aromatizado,5,214.0,49.2,
87,NOMI000426,Bandeira,Café aromatizado,6,429.0,90.1,
88,NOHP000797,Letícia,Café aromatizado,7,799.0,199.8,
89,NOHP000238,Letícia,Café aromatizado,8,239.88,64.8,
90,NOLE000989,Café Cirol,Café aromatizado,9,989.99,217.8,
91,NOHP0005210,Letícia,Café aromatizado,10,529.0,111.1,
92,NOSA0001311,.br,Café aromatizado,11,1349.99,270.0,
93,NOHP0003512,Letícia,Café aromatizado,12,359.0,100.5,
94,NOAS0006213,Café Fort,Café aromatizado,13,629.99,189.0,
95,RESA000501,.br,Café especial,1,50.0,14.5,
96,RESA000602,.br,Café especial,2,60.0,15.6,
97,REAP000783,Café iguaçu,Café especial,3,789.0,228.8,
98,CESA000301,.br,Café moído,1,300.0,66.0,
99,CESA000402,.br,Café moído,2,400.0,96.0,
100,CESA000103,.br,Café moído,3,100.0,28.0,
101,CESA000154,.br,Café moído,4,150.0,31.5,
102,CESA000205,.br,Café moído,5,200.0,56.0,
103,CESA000276,.br,Café moído,6,270.0,81.0,
104,CESA000107,.br,Café moído,7,100.0,27.0,
105,CESA000808,.br,Café moído,8,800.0,176.0,
106,CESA000909,.br,Café moído,9,900.0,198.0,
107,CESA0001210,.br,Café moído,10,120.0,31.2,
108,CESA0001511,.br,Café moído,11,150.0,26.97,
109,CESA0002012,.br,Café moído,12,200.0,92.81,
110,CEXI0002513,Pimpinela,Café moído,13,257.0,74.5,
111,CEXI0003114,Pimpinela,Café moído,14,317.0,133.3,
112,CEXI0001515,Pimpinela,Café moído,15,159.0,42.9,
113,CEXI0002116,Pimpinela,Café moído,16,219.0,56.9,
114,CEXI0002417,Pimpinela,Café moído,17,249.0,96.8,
115,CEXI0003218,Pimpinela,Café moído,18,329.0,75.7,
116,CEXI0002919,Pimpinela,Café moído,19,299.0,38.96,
117,CEXI0002420,Pimpinela,Café moído,20,249.0,104.8,
118,CEXI0002521,Pimpinela,Café moído,21,250.0,145.28,
119,CEXI0002722,Pimpinela,Café moído,22,279.0,49.98,
120,CEXI0003523,Pimpinela,Café moído,23,350.0,122.27,
121,CEMO0006924,Café Itamaraty,Café moído,24,69.0,18.6,
122,CEMO0009925,Café Itamaraty,Café moído,25,99.0,25.7,
123,NOLE000741,Café Cirol,Café aromatizado,1,749.0,224.7,
124,NODE000492,Amigo,Café aromatizado,2,498.0,109.6,
125,NOAS000153,Café Fort,Café aromatizado,3,1599.0,415.7,
126,NOHP000594,Letícia,Café aromatizado,4,599.0,131.8,
127,NOAC000525,Café 3 fazendas,Café aromatizado,5,529.99,143.1,
128,NOAC000216,Café 3 fazendas,Café aromatizado,6,2199.0,483.8,
129,NOAC000127,Café 3 fazendas,Café aromatizado,7,1299.0,285.8,
130,NODE000608,Amigo,Café aromatizado,8,600.0,132.0,
131,NODE000749,Amigo,Café aromatizado,9,740.0,170.2,
132,NOHP0007510,Letícia,Café aromatizado,10,750.0,210.0,
133,NOLE0009911,Café Cirol,Café aromatizado,11,999.0,259.7,
134,CAHA000271,3 corações,Café em grãos,1,27.5,12.4,
135,TELO000131,Santa Clara,Café gelado,1,138.0,37.3,
136,TEDE000362,Amigo,Café gelado,2,36.0,8.3,
137,TELO000443,Santa Clara,Café gelado,3,44.0,11.0,
138,TEDE000484,Amigo,Café gelado,4,48.0,11.5,
139,MOLG000121,tres,Monitor,1,129.0,34.8,
140,MOSA000152,.br,Monitor,2,159.99,41.6,
141,MOLG000173,tres,Monitor,3,1796.99,467.2,
142,MOHA000251,3 corações,Jarras para café gelado,1,25.0,11.0,
143,MOHA000252,3 corações,Jarras para café gelado,2,25.0,11.0,
144,CAHA000253,3 corações,Café em grãos,3,25.0,11.0,
145,CAHA000254,3 corações,Café em grãos,4,25.0,11.0,
146,CHHA000275,3 corações,Chaveiro,5,27.0,12.4,
147,CAHA000276,3 corações,Café em grãos,6,27.0,12.4,
148,CAHA000277,3 corações,Café em grãos,7,27.0,12.4,
149,CAHA000278,3 corações,Café em grãos,8,27.0,12.4,
150,CAHA0009.9,3 corações,Café em grãos,9,9.9,4.5,
151,CAHA0004510,3 corações,Espumadores de leite,10,45.9,19.7,
152,CAHA0004511,3 corações,Espumadores de leite,11,45.9,19.7,
153,CAHA0004512,3 corações,Espumadores de leite,12,45.9,19.7,
154,CAHA0004513,3 corações,Espumadores de leite,13,45.9,19.7,
155,CAHA0004814,3 corações,Espumadores de leite,14,48.9,20.0,
156,CAHA0004815,3 corações,Espumadores de leite,15,48.9,20.0,
